,COUNTRY,Total
0,CHINA,347
1,INDONESIA,276
2,JAPAN,238
3,IRAN,213
4,USA,185
5,TURKEY,164
6,ITALY,132
7,PHILIPPINES,120
8,RUSSIA,118
9,PERU,115
10,CHILE,109
11,MEXICO,106
12,GREECE,102
13,PAPUA NEW GUINEA,88
14,TAIWAN,73
15,INDIA,72
16,SOLOMON ISLANDS,59
17,COLOMBIA,52
18,AFGHANISTAN,50
19,NEW ZEALAND,50
20,VANUATU,45
21,PAKISTAN,44
22,ECUADOR,40
23,ALGERIA,38
24,NICARAGUA,29
25,GUATEMALA,28
26,VENEZUELA,28
27,MYANMAR (BURMA),27
28,COSTA RICA,25
29,ALBANIA,24
30,TAJIKISTAN,23
31,EL SALVADOR,22
32,USA TERRITORY,21
33,AUSTRALIA,20
34,PANAMA,19
35,TONGA,19
36,KERMADEC ISLANDS (NEW ZEALAND),17
37,FIJI,17
38,ARGENTINA,16
39,CANADA,14
40,NEW CALEDONIA,14
41,SOUTH AFRICA,13
42,BULGARIA,12
43,FRANCE,12
44,KYRGYZSTAN,11
45,AZORES (PORTUGAL),11
46,NEPAL,11
47,BANGLADESH,11
48,SERBIA,10
49,ROMANIA,10
50,BOSNIA-HERZEGOVINA,9
51,SLOVENIA,8
52,HONDURAS,8
53,GEORGIA,8
54,SPAIN,8
55,SAMOA,8
56,ICELAND,8
57,DOMINICAN REPUBLIC,8
58,MACEDONIA,7
59,CROATIA,7
60,UZBEKISTAN,7
61,ETHIOPIA,7
62,KAZAKHSTAN,7
63,UK,6
64,BRAZIL,6
65,MONGOLIA,6
66,EGYPT,6
67,MOROCCO,6
68,MONTENEGRO,5
69,CONGO,5
70,ARMENIA,5
71,GERMANY,5
72,BOLIVIA,5
73,TANZANIA,5
74,BHUTAN,5
75,SOUTH GEORGIA AND THE SOUTH SANDWICH ISLANDS,5
76,AZERBAIJAN,5
77,ATLANTIC OCEAN,5
78,"MICRONESIA, FED. STATES OF",4
79,ANTARCTICA,4
80,GUADELOUPE,4
81,RWANDA,4
82,MALAWI,4
83,TUNISIA,4
84,TRINIDAD AND TOBAGO,4
85,TURKMENISTAN,4
86,HUNGARY,3
87,SOUTH KOREA,3
88,SUDAN,3
89,SAUDI ARABIA,3
90,THAILAND,3
91,UGANDA,3
92,UKRAINE,3
93,POLAND,3
94,INDIAN OCEAN,3
95,YEMEN,3
96,CUBA,3
97,MALAYSIA,3
98,HAITI,3
99,CAMEROON,2
100,JAMAICA,2
101,GHANA,2
102,MARTINIQUE,2
103,LEBANON,2
104,PORTUGAL,2
105,ISRAEL,2
106,PACIFIC OCEAN,2
107,KENYA,2
108,CYPRUS,2
109,MOZAMBIQUE,2
110,NETHERLANDS,2
111,UK TERRITORY,1
112,MADAGASCAR,1
113,SYRIA,1
114,DJIBOUTI,1
115,BURUNDI,1
116,SLOVAKIA,1
117,KIRIBATI,1
118,BERING SEA,1
119,ZAMBIA,1
120,JORDAN,1
121,LAOS,1
122,SWITZERLAND,1
123,BELGIUM,1
124,GUINEA,1
125,LIBYA,1
126,CZECH REPUBLIC,1
127,GABON,1
128,VIETNAM,1
129,AUSTRIA,1
130,TOGO,1
131,WALLIS AND FUTUNA (FRENCH TERRITORY),1
132,SOLOMON SEA,1
133,CENTRAL AFRICAN REPUBLIC,1
134,IRAQ,1
135,PALAU,1
136,SAINT LUCIA,1
137,ANTIGUA AND BARBUDA,1
138,COMOROS,1
