,Country,Total
0,Indonesia,121
1,Japan,85
2,Philippines,28
3,Italy,25
4,United States,24
5,Papua New Guinea,18
6,Chile,17
7,Guatemala,14
8,Ecuador,13
9,Russia,12
10,Iceland,10
11,Vanuatu,8
12,New Zealand,8
13,Mexico,7
14,Costa Rica,6
15,Montserrat,6
16,Colombia,6
17,Comoros,5
18,"Congo, DRC",5
19,Nicaragua,4
20,Tanzania,4
21,Martinique,4
22,Cameroon,3
23,El Salvador,3
24,Solomon Is.,3
25,Peru,2
26,St. Vincent & the Grenadines,2
27,Cape Verde,2
28,Samoa,2
29,Ethiopia,2
30,Eritrea,1
31,Spain,1
32,Greece,1
33,Pacific Ocean,1
34,Yemen,1
35,Trinidad ,1
36,Reunion,1
37,Tonga,1
38,Antarctica,1
